               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081659,            0.029174,            0.025493,             0.38504,             0.49909,             0.44964,             0.21033,            0.052831,            0.012015,            0.016727,             0.07015,           0.0033167,           0.0033167
                   1,            0.056135,            0.021376,            0.018133,             0.53387,             0.60626,             0.56578,              0.2994,            0.047702,           0.0086465,           0.0094089,            0.040084,           0.0065842,           0.0065842
                   2,            0.051211,            0.019789,            0.015642,             0.42952,             0.71964,             0.51751,             0.23425,            0.045908,           0.0084029,           0.0080032,           0.0099523,           0.0097857,           0.0097857
                   3,             0.04657,            0.018596,            0.013874,             0.62405,             0.80298,              0.6814,             0.33272,            0.040403,           0.0079944,           0.0076681,            0.009703,            0.009703,            0.009703
                   4,            0.041826,            0.017521,            0.014408,             0.50016,             0.87495,              0.6566,              0.3832,            0.035837,           0.0076545,           0.0072158,            0.009703,            0.009703,            0.009703
                   5,             0.03755,            0.017251,            0.012342,             0.71006,             0.83421,             0.80901,             0.45997,            0.033591,           0.0075499,           0.0061706,            0.009604,            0.009604,            0.009604
                   6,            0.037208,            0.017572,            0.012243,             0.68574,             0.87992,              0.8314,             0.52066,            0.032746,           0.0075848,           0.0067118,            0.009505,            0.009505,            0.009505
                   7,            0.036389,            0.017375,            0.012039,             0.69877,             0.88707,             0.80637,             0.47828,            0.029075,           0.0075644,           0.0065544,            0.009406,            0.009406,            0.009406
                   8,            0.035618,            0.018095,            0.012078,             0.71201,             0.81223,             0.76435,             0.49985,            0.027045,            0.007747,           0.0079718,            0.009307,            0.009307,            0.009307
                   9,            0.031312,            0.016463,            0.010839,             0.67935,             0.88919,             0.81219,             0.54324,            0.025359,           0.0075165,           0.0070159,            0.009208,            0.009208,            0.009208
                  10,             0.03115,            0.016074,            0.011357,             0.69558,             0.86843,             0.80506,             0.52283,            0.025457,           0.0073384,           0.0069018,            0.009109,            0.009109,            0.009109
                  11,            0.031924,            0.016275,            0.010293,             0.68779,              0.8429,             0.80181,             0.52764,            0.027032,           0.0071068,           0.0060648,             0.00901,             0.00901,             0.00901
                  12,            0.031282,            0.015596,            0.010687,             0.76588,             0.86341,              0.8172,             0.58984,            0.023352,            0.007131,           0.0058076,            0.008911,            0.008911,            0.008911
                  13,            0.030299,            0.015776,            0.010336,             0.72635,             0.87067,             0.80305,             0.53871,             0.02568,           0.0072056,           0.0067278,            0.008812,            0.008812,            0.008812
                  14,            0.031041,            0.015906,            0.010209,             0.74861,             0.86855,             0.85171,             0.56237,            0.024813,           0.0072946,           0.0067828,            0.008713,            0.008713,            0.008713
                  15,            0.029531,            0.015793,            0.010142,             0.74798,             0.83655,              0.8179,             0.55597,            0.025433,           0.0072856,            0.006866,            0.008614,            0.008614,            0.008614
                  16,            0.030118,            0.015319,           0.0094712,              0.7212,             0.82726,             0.80343,             0.55707,            0.024691,           0.0078673,           0.0078562,            0.008515,            0.008515,            0.008515
                  17,             0.02785,            0.015272,           0.0099936,             0.71051,             0.82544,             0.80387,             0.57482,            0.021873,           0.0073572,           0.0082827,            0.008416,            0.008416,            0.008416
                  18,            0.028475,            0.015333,            0.009785,              0.7646,             0.88491,             0.81064,             0.57333,            0.023225,           0.0072021,            0.008433,            0.008317,            0.008317,            0.008317
